root_seq	kind	sec
2	Node	0.004
3	TraitLine	4.563
5	TraitLine	4.562
7	TraitLine	4.564
9	TraitLine	4.561
11	Duel	30.258
16	Node	0.002
17	ActiveSkill	0.004
19	ActiveSkill	0.002
21	ActiveSkill	0.002
23	ActiveSkill	0.013
27	ActiveSkill	0.005
31	ActiveSkill	1.281
34	StatusTrigger	0.964
48	ActiveSkill	0.006
56	ActiveSkill	0.002
64	Node	0.003
68	Node	0.002
69	TraitLine	2.281
70	Node	0.003
71	TraitLine	2.281
72	StatusTrigger	0.517
74	StatusTrigger	0.963
72	StatusTrigger	0.520
72	StatusTrigger	0.517
82	StatusTrigger	1.032
87	TraitLine	2.281
88	ActiveSkill	3.848
93	Node	0.002
94	NormalAttack	0.517
97	StatusTrigger	0.963
99	Node	0.002
100	TraitLine	2.282
101	Node	0.002
102	ActiveSkill	0.963
106	StatusTrigger	0.962
111	NormalAttack	0.517
114	StatusTrigger	0.961
116	Node	0.003
117	Passive	0.002
118	NormalAttack	0.517
121	StatusTrigger	0.963
124	Node	0.002
130	Node	0.002
131	NormalAttack	0.515
134	StatusTrigger	0.962
136	Node	0.003
138	NormalAttack	0.516
141	StatusTrigger	0.962
143	Pursuit	3.406
150	StatusTrigger	0.517
153	Node	0.002
156	StatusTrigger	0.519
158	StatusTrigger	0.963
156	StatusTrigger	0.520
156	StatusTrigger	0.514
163	StatusTrigger	0.517
166	TraitLine	2.282
163	StatusTrigger	0.517
170	ActiveSkill	0.520
174	TraitLine	2.280
175	StatusTrigger	0.520
170	ActiveSkill	0.516
170	ActiveSkill	0.520
191	TraitLine	2.277
192	ActiveSkill	0.962
195	StatusTrigger	0.963
198	NormalAttack	0.518
201	Node	0.002
204	NormalAttack	0.514
207	StatusTrigger	0.961
209	Node	0.002
210	ActiveSkill	0.002
214	NormalAttack	0.517
217	StatusTrigger	0.963
219	Node	0.002
220	ActiveSkill	1.275
224	TraitLine	2.280
226	StatusTrigger	0.962
233	Passive	0.002
234	NormalAttack	0.516
237	StatusTrigger	0.963
240	Node	0.002
246	Node	0.002
247	TraitLine	2.281
248	ActiveSkill	0.002
252	NormalAttack	0.516
255	StatusTrigger	0.962
257	Node	0.002
258	TraitLine	2.281
259	Passive	0.700
260	Node	0.002
261	TraitLine	2.282
262	StatusTrigger	0.515
262	StatusTrigger	0.515
262	StatusTrigger	0.515
266	StatusTrigger	0.963
268	Node	0.002
269	ActiveSkill	0.962
272	StatusTrigger	0.964
277	ActiveSkill	0.002
281	NormalAttack	0.515
284	StatusTrigger	0.963
286	Node	0.002
287	ActiveSkill	1.275
290	StatusTrigger	0.963
301	Passive	0.002
302	NormalAttack	0.516
306	Node	0.003
312	Node	0.002
315	TraitLine	2.280
316	Node	0.002
317	TraitLine	2.282
318	TraitLine	2.282
319	Passive	0.701
320	Passive	0.702
321	Node	0.002
324	StatusTrigger	0.515
326	StatusTrigger	0.962
329	StatusTrigger	3.610
324	StatusTrigger	0.514
324	StatusTrigger	0.515
339	TraitLine	2.283
360	NormalAttack	0.518
363	StatusTrigger	0.964
365	TraitLine	2.281
366	ActiveSkill	3.851
368	Node	0.002
369	ActiveSkill	0.963
372	StatusTrigger	0.961
376	TraitLine	2.281
377	Node	0.005
378	Node	0.006
